age,job,marital,education,month,campaign,y
31,management,single,tertiary,nov,2,no
42,admin,married,secondary,may,2,no
35,management,married,tertiary,aug,2,no
56,retired,married,primary,jun,9,no
48,technician,married,secondary,jul,5,no
46,admin,married,secondary,jan,4,no
37,technician,single,unknown,may,3,no
41,entrepreneur,married,unknown,may,2,no
36,management,single,tertiary,jul,3,no
45,unemployed,divorced,primary,jul,1,no
55,entrepreneur,married,secondary,feb,2,no
39,technician,married,secondary,may,1,no
35,technician,divorced,secondary,aug,2,no
55,admin,married,secondary,jun,3,yes
55,technician,married,secondary,jan,3,no
27,self-employed,single,secondary,jan,1,no
34,technician,married,secondary,apr,1,no
34,blue-collar,married,tertiary,oct,1,no
25,admin,single,secondary,may,2,no
41,admin,single,secondary,may,3,no
43,services,married,secondary,may,2,no
28,management,single,tertiary,oct,2,yes
31,admin,single,secondary,jun,1,no
78,housemaid,married,secondary,mar,4,no
45,blue-collar,divorced,secondary,jan,2,no
48,technician,married,tertiary,may,1,no
32,blue-collar,single,secondary,jul,1,no
42,technician,married,secondary,jun,3,no
37,management,single,tertiary,jan,2,no
40,admin,single,secondary,apr,1,no
32,admin,married,secondary,jul,1,no
42,management,married,tertiary,nov,2,no
43,admin,married,secondary,jul,1,no
44,admin,married,secondary,jul,7,no
37,admin,married,secondary,may,2,no
37,unknown,married,unknown,jun,1,no
37,admin,married,tertiary,nov,2,no
28,technician,single,tertiary,feb,2,no
32,services,single,secondary,jul,2,no
34,admin,single,secondary,may,5,no
40,admin,divorced,secondary,jun,1,no
34,services,married,secondary,jun,3,no
34,self-employed,married,tertiary,jul,2,no
34,admin,married,tertiary,nov,3,no
37,services,single,secondary,feb,1,no
36,technician,married,secondary,may,2,no
56,retired,married,secondary,jun,2,yes
49,blue-collar,married,primary,jul,6,no
33,self-employed,married,secondary,jul,12,no
30,management,single,tertiary,nov,2,no
36,services,married,secondary,jun,2,no
23,student,single,secondary,jun,2,no
57,retired,divorced,secondary,jul,3,no
27,blue-collar,single,secondary,may,2,no
38,services,married,secondary,nov,2,no
42,technician,married,tertiary,apr,1,no
75,retired,married,secondary,apr,1,yes
34,technician,single,tertiary,may,1,no
48,technician,married,secondary,aug,2,no
35,technician,single,tertiary,aug,2,yes
39,management,divorced,tertiary,nov,4,no
29,blue-collar,single,tertiary,apr,1,yes
45,technician,single,tertiary,nov,2,no
42,technician,married,secondary,jul,1,no
29,technician,married,secondary,jul,1,no
38,services,single,secondary,feb,1,no
56,retired,married,secondary,aug,14,no
36,technician,single,secondary,aug,3,no
25,blue-collar,single,secondary,jun,3,no
38,technician,married,tertiary,may,2,no
57,self-employed,married,secondary,nov,1,no
31,management,married,tertiary,aug,4,no
42,management,married,tertiary,aug,2,yes
45,technician,married,secondary,aug,2,no
30,blue-collar,married,secondary,may,2,no
49,blue-collar,married,primary,jul,10,no
49,services,married,secondary,aug,3,no
53,retired,married,tertiary,jul,3,no
37,technician,married,secondary,may,5,no
49,blue-collar,married,primary,may,2,no
41,self-employed,married,primary,aug,7,no
54,management,married,primary,nov,1,no
32,services,single,secondary,may,1,no
33,technician,married,secondary,may,3,no
33,technician,married,secondary,apr,1,no
36,blue-collar,married,primary,may,1,no
35,technician,married,tertiary,sep,1,no
52,unknown,married,secondary,aug,6,no
40,entrepreneur,married,tertiary,jun,3,no
44,technician,single,secondary,may,3,no
45,blue-collar,single,secondary,jul,2,no
30,student,single,secondary,jan,1,no
48,technician,divorced,secondary,aug,3,no
33,blue-collar,married,secondary,apr,1,no
57,technician,married,unknown,may,3,no
57,housemaid,married,primary,jun,3,no
51,unemployed,married,tertiary,jul,4,no
34,admin,single,secondary,jul,7,no
50,self-employed,married,tertiary,nov,3,no
44,management,married,tertiary,aug,12,no
27,admin,married,secondary,jun,2,no
50,blue-collar,married,secondary,may,2,no
36,management,married,tertiary,jan,1,no
42,management,married,secondary,may,2,no
32,unemployed,single,secondary,may,2,no
42,management,married,tertiary,jul,2,no
43,technician,married,secondary,may,2,no
31,management,married,tertiary,feb,3,no
32,management,married,tertiary,aug,5,no
55,blue-collar,divorced,primary,jul,2,no
58,retired,married,primary,feb,3,no
46,blue-collar,married,primary,aug,2,no
55,blue-collar,married,secondary,may,4,no
34,management,married,tertiary,jul,2,no
28,unemployed,single,secondary,aug,4,no
42,technician,divorced,tertiary,jul,2,no
29,blue-collar,single,secondary,jul,3,yes
54,housemaid,married,secondary,jul,1,no
32,technician,single,secondary,aug,2,no
39,technician,single,tertiary,feb,3,no
53,entrepreneur,married,tertiary,jul,4,no
58,technician,married,tertiary,aug,1,no
40,self-employed,married,secondary,may,1,no
29,student,single,secondary,may,1,no
33,technician,married,tertiary,jul,3,no
38,admin,single,secondary,jul,13,no
56,services,divorced,secondary,jul,6,no
40,services,married,secondary,jun,1,no
24,blue-collar,single,secondary,may,1,yes
46,management,married,secondary,jun,3,no
35,self-employed,married,secondary,nov,4,no
35,blue-collar,single,tertiary,jul,4,no
34,technician,married,secondary,may,1,no
35,housemaid,married,tertiary,aug,2,no
38,technician,single,tertiary,aug,2,no
50,blue-collar,married,primary,nov,3,no
51,blue-collar,divorced,primary,may,1,no
59,self-employed,married,tertiary,may,2,no
32,blue-collar,married,secondary,apr,1,no
37,blue-collar,single,secondary,jun,1,no
42,admin,divorced,secondary,may,6,no
40,student,married,secondary,jun,6,no
28,technician,single,tertiary,may,1,no
47,admin,married,secondary,jun,3,no
27,self-employed,married,secondary,may,2,no
41,management,married,tertiary,jul,5,no
34,admin,married,tertiary,aug,3,yes
50,blue-collar,married,primary,aug,2,yes
47,blue-collar,married,secondary,may,2,no
53,services,married,secondary,aug,6,no
53,technician,divorced,secondary,jul,5,no
47,management,married,tertiary,aug,2,no
49,entrepreneur,divorced,unknown,jul,2,yes
29,management,married,tertiary,jan,1,no
45,blue-collar,divorced,primary,may,1,yes
38,entrepreneur,married,secondary,jul,24,yes
32,blue-collar,married,secondary,apr,5,yes
70,retired,divorced,primary,may,1,no
65,retired,divorced,primary,jun,2,no
56,blue-collar,married,secondary,jul,1,no
35,blue-collar,married,secondary,jul,2,no
56,management,married,unknown,jul,2,no
56,technician,married,secondary,jul,2,no
49,entrepreneur,married,secondary,apr,1,yes
38,unemployed,married,primary,may,5,no
35,management,married,tertiary,may,1,no
38,admin,married,tertiary,nov,2,no
49,blue-collar,married,secondary,may,7,no
55,management,married,unknown,jan,2,no
43,blue-collar,single,primary,jul,3,no
43,management,married,tertiary,aug,2,no
25,admin,single,tertiary,may,3,yes
30,blue-collar,married,primary,may,2,no
46,blue-collar,married,secondary,feb,1,no
50,admin,married,primary,jun,6,no
35,entrepreneur,married,secondary,may,4,yes
26,unemployed,single,secondary,may,1,no
45,admin,married,unknown,jun,11,no
37,blue-collar,married,secondary,feb,1,no
60,self-employed,single,tertiary,jul,4,no
38,management,married,tertiary,aug,1,yes
47,blue-collar,married,primary,jun,1,no
33,technician,married,secondary,nov,1,no
51,unemployed,married,secondary,nov,1,no
35,entrepreneur,single,tertiary,jul,2,yes
35,unemployed,married,secondary,dec,3,yes
48,admin,single,secondary,may,1,no
37,admin,married,secondary,jul,6,no
29,technician,single,tertiary,apr,3,no
34,admin,married,secondary,jul,4,no
32,services,married,primary,jul,6,yes
30,management,single,tertiary,apr,4,yes
47,management,divorced,tertiary,may,1,no
33,blue-collar,married,primary,sep,1,no
33,management,single,tertiary,feb,1,no
63,retired,married,primary,oct,1,no
51,self-employed,divorced,primary,may,2,no
41,management,married,tertiary,nov,1,no
56,retired,married,tertiary,feb,1,no
60,management,single,tertiary,jul,1,no
41,self-employed,single,tertiary,may,2,no
37,management,single,unknown,apr,1,no
36,blue-collar,single,secondary,may,2,no
57,management,married,tertiary,jul,3,no
55,management,married,primary,sep,2,yes
44,admin,married,secondary,may,1,no
47,self-employed,married,tertiary,may,2,no
31,blue-collar,married,secondary,apr,1,no
35,management,married,tertiary,nov,1,no
39,management,married,tertiary,jul,3,no
50,management,married,tertiary,nov,1,no
29,management,married,tertiary,may,2,no
30,services,single,secondary,may,2,no
46,services,married,secondary,may,4,no
27,management,single,unknown,feb,2,no
48,admin,divorced,secondary,apr,2,yes
26,student,single,secondary,may,1,no
36,management,single,tertiary,nov,6,no
42,blue-collar,married,primary,may,2,no
50,housemaid,married,primary,may,2,no
49,blue-collar,married,secondary,nov,2,no
45,management,married,tertiary,aug,2,no
23,student,single,secondary,sep,1,no
38,technician,single,secondary,apr,2,no
32,management,single,tertiary,apr,1,no
60,technician,single,primary,aug,1,yes
30,entrepreneur,married,secondary,nov,1,no
58,housemaid,married,tertiary,jun,5,no
60,retired,married,primary,jun,1,no
38,services,married,secondary,jun,3,no
51,technician,married,secondary,aug,1,no
42,admin,married,secondary,may,1,no
30,services,single,secondary,may,6,no
40,management,married,primary,jun,7,no
37,management,married,tertiary,may,3,yes
53,technician,divorced,primary,may,1,no
27,services,single,secondary,may,1,no
39,blue-collar,married,secondary,apr,1,no
39,blue-collar,married,primary,jun,1,no
59,retired,married,tertiary,mar,2,yes
37,services,married,secondary,may,2,no
41,blue-collar,married,primary,jul,2,no
45,blue-collar,married,primary,apr,1,no
48,management,married,tertiary,jun,3,no
48,technician,married,secondary,may,3,no
32,blue-collar,married,secondary,may,1,no
35,services,married,secondary,may,3,no
33,management,single,tertiary,feb,2,no
28,blue-collar,single,primary,jun,4,no
64,retired,married,unknown,mar,1,no
35,technician,married,secondary,aug,4,no
33,blue-collar,married,secondary,may,2,no
41,technician,married,secondary,may,4,no
34,admin,married,secondary,jun,1,no
37,technician,single,tertiary,may,5,no
38,blue-collar,married,primary,may,3,no
39,blue-collar,married,primary,apr,3,no
35,technician,divorced,tertiary,nov,2,no
28,blue-collar,single,secondary,jul,1,yes
27,blue-collar,single,secondary,jul,1,no
48,retired,married,primary,nov,1,no
50,blue-collar,married,secondary,jun,1,no
45,self-employed,married,secondary,aug,2,no
41,technician,married,tertiary,may,1,no
39,technician,married,secondary,jul,2,no
44,management,married,secondary,may,3,no
54,admin,married,secondary,jan,1,yes
49,management,married,tertiary,aug,4,no
34,blue-collar,single,secondary,feb,1,no
75,retired,divorced,tertiary,nov,1,yes
42,management,married,tertiary,aug,2,no
53,blue-collar,married,secondary,aug,7,no
49,management,divorced,tertiary,jul,4,yes
31,services,single,secondary,aug,2,no
45,blue-collar,single,primary,jan,2,no
39,self-employed,married,secondary,jul,1,no
46,technician,married,secondary,nov,1,no
42,admin,divorced,secondary,may,1,no
37,management,married,tertiary,may,1,no
26,technician,single,tertiary,apr,2,no
37,management,single,tertiary,apr,4,no
36,services,single,secondary,may,1,no
29,blue-collar,single,primary,jun,3,no
36,blue-collar,married,primary,may,1,no
26,technician,married,tertiary,may,1,no
32,blue-collar,married,secondary,may,2,no
40,management,married,tertiary,nov,1,no
53,management,married,primary,feb,3,no
29,management,married,tertiary,may,1,no
34,technician,single,tertiary,jul,4,no
43,blue-collar,married,secondary,may,1,no
56,management,married,tertiary,jul,2,no
55,entrepreneur,divorced,tertiary,jun,2,no
31,self-employed,married,tertiary,may,1,no
27,admin,single,secondary,apr,5,no
36,management,married,secondary,nov,2,no
44,management,married,tertiary,aug,2,no
37,admin,divorced,tertiary,may,1,no
30,admin,single,secondary,may,3,no
42,technician,single,secondary,aug,8,no
30,management,married,tertiary,jul,4,yes
62,retired,married,secondary,sep,2,no
24,blue-collar,married,secondary,apr,1,no
31,technician,married,secondary,may,1,no
66,retired,married,tertiary,apr,1,no
47,admin,married,secondary,jul,1,no
39,entrepreneur,married,tertiary,nov,1,no
35,technician,married,secondary,nov,1,yes
35,admin,divorced,secondary,apr,1,no
27,technician,married,secondary,may,2,no
32,blue-collar,married,secondary,may,2,no
44,management,married,tertiary,aug,24,no
42,blue-collar,married,secondary,may,1,no
34,self-employed,single,tertiary,apr,1,yes
25,services,single,secondary,jul,1,no
40,technician,single,secondary,jul,6,no
43,management,divorced,tertiary,may,1,no
55,unemployed,married,tertiary,may,3,no
50,blue-collar,married,secondary,aug,3,no
45,management,divorced,tertiary,jun,1,no
35,blue-collar,divorced,secondary,nov,1,no
32,blue-collar,married,secondary,sep,1,yes
59,housemaid,married,secondary,feb,1,no
34,self-employed,married,secondary,may,1,no
39,management,married,tertiary,may,1,no
40,management,single,secondary,nov,3,no
36,blue-collar,single,primary,jun,10,no
40,management,married,tertiary,nov,1,no
55,self-employed,married,secondary,may,2,no
38,entrepreneur,married,secondary,jul,1,no
61,admin,married,secondary,mar,1,yes
41,management,married,tertiary,may,3,no
57,blue-collar,married,primary,may,4,no
48,blue-collar,married,secondary,may,1,no
77,retired,married,tertiary,may,1,yes
35,services,married,secondary,may,1,no
54,blue-collar,married,secondary,may,1,no
37,management,single,unknown,may,2,no
56,management,single,secondary,jul,4,no
40,technician,married,secondary,feb,4,no
40,management,married,tertiary,jul,8,no
54,management,married,tertiary,jun,2,no
55,housemaid,married,primary,jun,10,no
55,services,divorced,secondary,jul,3,no
52,blue-collar,married,primary,may,3,no
55,blue-collar,single,primary,jun,2,no
33,management,married,tertiary,aug,2,no
52,blue-collar,married,unknown,may,2,no
33,services,divorced,secondary,may,1,no
53,admin,married,secondary,mar,1,yes
46,admin,married,secondary,aug,6,yes
44,technician,single,secondary,aug,4,yes
48,management,divorced,tertiary,may,1,no
50,housemaid,married,secondary,may,1,no
34,technician,single,secondary,nov,2,no
38,technician,single,secondary,jun,2,no
42,management,single,tertiary,nov,2,no
32,management,single,tertiary,aug,5,no
58,admin,married,secondary,jul,9,no
31,management,married,tertiary,aug,5,no
19,student,single,primary,jul,2,yes
41,management,married,tertiary,oct,1,no
31,unemployed,married,secondary,may,3,no
52,self-employed,single,primary,jul,6,no
42,self-employed,divorced,tertiary,jun,5,no
41,blue-collar,single,secondary,may,1,no
30,blue-collar,single,secondary,jun,1,yes
38,blue-collar,married,secondary,feb,1,no
32,management,married,tertiary,jul,3,no
52,technician,married,secondary,feb,1,yes
48,management,divorced,tertiary,may,2,no
36,management,married,tertiary,jul,29,no
45,unemployed,divorced,primary,apr,1,no
34,technician,married,tertiary,jun,1,no
36,blue-collar,married,primary,apr,2,yes
34,management,married,tertiary,may,1,no
61,retired,married,secondary,sep,1,no
54,services,married,secondary,jun,1,no
50,entrepreneur,married,secondary,nov,1,no
43,admin,divorced,secondary,nov,4,no
47,blue-collar,married,primary,aug,3,no
45,services,married,secondary,may,1,no
57,retired,married,primary,jun,1,no
27,admin,married,secondary,may,1,no
49,unemployed,divorced,secondary,jul,3,no
43,services,married,primary,may,1,no
40,management,married,tertiary,nov,1,no
32,services,single,secondary,may,1,no
58,management,married,primary,may,4,no
34,admin,single,secondary,apr,1,no
46,technician,divorced,secondary,may,2,no
29,blue-collar,married,secondary,jun,1,no
52,blue-collar,married,primary,aug,1,no
45,management,married,tertiary,jun,1,no
26,management,single,secondary,jul,4,no
40,technician,married,tertiary,aug,1,no
41,admin,married,secondary,may,1,no
47,admin,single,secondary,jul,2,yes
27,technician,single,unknown,jul,4,no
27,services,married,secondary,jul,13,no
48,blue-collar,married,secondary,may,1,no
49,admin,married,secondary,aug,3,no
35,blue-collar,married,primary,jul,6,no
47,self-employed,married,secondary,feb,2,no
54,management,married,tertiary,jul,5,no
39,management,single,tertiary,nov,1,no
28,student,single,secondary,apr,1,no
54,blue-collar,married,primary,jun,2,no
34,technician,married,secondary,apr,3,no
63,retired,married,secondary,sep,1,no
42,self-employed,married,tertiary,may,32,no
43,technician,single,secondary,may,1,no
37,admin,married,secondary,may,2,no
55,blue-collar,married,primary,aug,9,no
43,management,single,tertiary,aug,2,yes
41,blue-collar,married,secondary,jul,1,yes
47,technician,divorced,secondary,aug,13,no
34,technician,married,secondary,may,1,no
28,student,single,secondary,apr,2,no
36,services,married,secondary,may,2,no
50,technician,married,secondary,nov,1,no
35,blue-collar,married,secondary,may,2,no
40,technician,married,secondary,jan,1,no
26,self-employed,single,tertiary,jan,3,no
36,management,divorced,tertiary,jun,3,no
59,unemployed,married,primary,jan,2,no
28,student,single,secondary,mar,13,no
46,entrepreneur,married,unknown,may,2,no
50,self-employed,married,secondary,aug,10,no
53,management,married,tertiary,apr,1,no
81,retired,married,secondary,aug,5,no
35,services,divorced,secondary,may,2,no
58,retired,married,unknown,aug,1,no
44,services,married,secondary,may,1,no
38,management,married,tertiary,jul,1,no
49,blue-collar,married,secondary,feb,3,no
33,technician,single,tertiary,feb,1,no
29,management,married,tertiary,jul,3,no
28,technician,single,secondary,apr,1,yes
31,admin,married,secondary,may,3,no
33,management,single,tertiary,jan,2,no
52,technician,married,secondary,jul,2,no
43,management,divorced,tertiary,jul,6,no
32,self-employed,single,secondary,may,7,no
36,self-employed,married,tertiary,jul,4,no
41,blue-collar,married,secondary,jun,2,no
43,blue-collar,married,secondary,jul,2,no
45,self-employed,married,tertiary,jun,2,no
39,technician,married,secondary,jul,1,no
41,services,married,secondary,may,7,no
31,technician,married,secondary,jun,1,no
37,unemployed,single,tertiary,jul,1,no
28,entrepreneur,married,unknown,jan,1,no
47,housemaid,married,primary,aug,2,no
37,housemaid,married,primary,aug,4,no
60,retired,divorced,unknown,jan,1,no
43,technician,divorced,secondary,jul,3,no
58,retired,divorced,tertiary,jul,3,no
52,entrepreneur,married,tertiary,nov,1,no
50,blue-collar,married,primary,apr,2,no
32,services,single,secondary,jul,1,yes
42,blue-collar,married,primary,jul,1,no
31,admin,married,secondary,aug,2,no
28,blue-collar,married,secondary,may,1,no
36,technician,divorced,tertiary,jul,8,no
51,unemployed,single,tertiary,feb,1,no
46,technician,married,tertiary,may,1,no
50,services,single,secondary,may,2,no
32,blue-collar,married,secondary,jun,1,no
26,entrepreneur,single,tertiary,jul,3,no
41,self-employed,married,tertiary,aug,2,yes
39,technician,married,tertiary,apr,1,no
31,blue-collar,married,secondary,jun,1,no
28,management,single,tertiary,jul,2,no
31,management,single,secondary,aug,2,no
30,technician,married,tertiary,may,1,no
35,technician,married,tertiary,aug,3,yes
33,blue-collar,married,primary,jun,2,no
30,technician,single,tertiary,aug,8,no
32,blue-collar,single,secondary,may,1,no
40,management,single,tertiary,may,1,no
31,self-employed,married,tertiary,feb,2,no
36,technician,married,secondary,may,2,no
33,management,single,tertiary,may,1,no
57,retired,married,secondary,jul,1,no
45,technician,married,secondary,aug,2,no
59,management,married,tertiary,dec,1,no
30,management,single,tertiary,jul,8,yes
33,technician,married,tertiary,nov,1,no
52,blue-collar,married,secondary,may,13,no
83,retired,married,secondary,mar,10,no
58,self-employed,divorced,tertiary,jun,1,yes
33,management,divorced,tertiary,nov,1,no
41,blue-collar,divorced,primary,jun,5,no
31,self-employed,married,secondary,aug,4,no
35,blue-collar,divorced,secondary,jul,5,no
27,management,single,tertiary,jun,3,yes
57,admin,divorced,unknown,jun,8,no
56,unknown,married,unknown,jun,2,no
53,admin,single,secondary,may,2,no
39,management,married,tertiary,jun,2,yes
32,entrepreneur,single,tertiary,aug,10,no
46,self-employed,married,secondary,aug,4,yes
56,technician,married,tertiary,aug,2,no
46,management,divorced,tertiary,nov,3,no
29,entrepreneur,married,secondary,may,4,no
60,management,married,primary,apr,2,no
33,housemaid,single,tertiary,apr,2,no
27,entrepreneur,single,tertiary,feb,1,no
50,self-employed,divorced,tertiary,may,2,no
45,services,married,secondary,jul,1,no
58,retired,married,secondary,aug,6,no
59,retired,married,primary,may,7,no
58,retired,divorced,primary,jul,6,no
64,retired,married,primary,mar,1,no
47,technician,married,secondary,may,1,no
40,management,married,tertiary,jul,2,no
36,technician,divorced,secondary,apr,1,no
28,management,single,tertiary,jul,5,yes
38,technician,single,tertiary,jun,2,yes
53,entrepreneur,married,primary,nov,2,no
46,blue-collar,single,secondary,may,6,no
54,technician,married,secondary,nov,1,no
32,management,married,tertiary,nov,1,no
55,management,married,primary,feb,1,no
55,retired,divorced,secondary,jul,1,no
56,technician,married,secondary,jul,4,no
40,blue-collar,married,secondary,jun,1,no
44,technician,married,secondary,feb,1,no
32,entrepreneur,married,unknown,nov,1,no
33,management,married,tertiary,jun,4,no
41,unemployed,divorced,secondary,jul,3,no
37,technician,married,secondary,may,4,no
58,management,single,tertiary,may,3,no
52,blue-collar,married,secondary,aug,2,no
49,services,single,secondary,jun,6,no
44,housemaid,married,primary,jun,3,no
28,admin,single,unknown,sep,1,no
31,technician,married,secondary,aug,2,no
37,self-employed,married,secondary,jul,16,no
30,technician,single,tertiary,feb,2,no
28,services,single,secondary,jun,3,yes
46,services,married,secondary,apr,2,no
47,management,married,tertiary,nov,5,no
35,blue-collar,married,primary,may,5,no
80,management,married,primary,oct,1,no
30,technician,single,tertiary,may,5,no
55,technician,single,secondary,jun,1,no
22,student,single,tertiary,jun,1,no
33,blue-collar,single,primary,may,1,no
53,entrepreneur,married,unknown,jul,2,no
49,management,married,tertiary,nov,2,no
51,retired,married,secondary,jul,4,no
41,self-employed,married,tertiary,nov,1,no
34,technician,married,secondary,jul,1,no
36,blue-collar,single,secondary,jun,3,no
35,entrepreneur,married,tertiary,may,1,no
29,services,married,secondary,jul,1,no
40,technician,single,tertiary,jul,1,no
32,management,divorced,tertiary,aug,6,yes
48,blue-collar,married,secondary,may,2,no
59,retired,married,unknown,jun,1,yes
35,self-employed,divorced,tertiary,may,2,yes
33,technician,single,tertiary,aug,1,no
55,retired,married,primary,jun,1,no
41,blue-collar,married,secondary,may,1,no
42,housemaid,married,primary,may,2,no
46,blue-collar,married,primary,jun,1,no
35,housemaid,divorced,secondary,jul,2,no
28,technician,single,tertiary,jan,2,no
25,student,single,secondary,apr,1,no
56,management,single,tertiary,apr,6,no
30,admin,single,secondary,jul,1,no
45,blue-collar,married,secondary,aug,4,no
40,management,married,tertiary,jun,3,no
40,blue-collar,married,secondary,may,2,no
39,blue-collar,married,secondary,jul,13,no
48,entrepreneur,married,tertiary,jun,1,no
31,technician,single,tertiary,may,1,no
32,management,married,tertiary,feb,3,no
34,services,married,secondary,may,2,no
26,technician,single,secondary,jan,1,no
31,management,married,tertiary,may,3,no
37,management,single,tertiary,may,1,no
29,student,single,unknown,aug,1,no
57,technician,married,secondary,may,3,no
47,management,single,tertiary,nov,2,no
38,self-employed,single,secondary,may,2,no
48,blue-collar,married,primary,nov,1,no
50,management,married,tertiary,oct,1,yes
33,admin,married,secondary,apr,2,no
28,admin,single,secondary,may,2,no
30,services,single,secondary,feb,1,no
52,technician,divorced,secondary,aug,2,no
36,technician,married,secondary,oct,1,yes
